rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,preview_url,read_url,popularity_score
20,The Road to Oz,L. Frank Baum,fantasy,,1909,,,533,,,openlibrary,OL262390W,https://openlibrary.org/works/OL262390W,https://covers.openlibrary.org/b/id/8243922-M.jpg,https://openlibrary.org/works/OL262390W,https://openlibrary.org/works/OL262390W,53.300000000000004
21,The Sea Fairies,L. Frank Baum,fantasy,,1911,,,528,,,openlibrary,OL262384W,https://openlibrary.org/works/OL262384W,https://covers.openlibrary.org/b/id/1814237-M.jpg,https://openlibrary.org/works/OL262384W,https://openlibrary.org/works/OL262384W,52.800000000000004
22,Baum's American Fairy Tales,L. Frank Baum,fantasy,,1901,,,514,,,openlibrary,OL262341W,https://openlibrary.org/works/OL262341W,https://covers.openlibrary.org/b/id/709869-M.jpg,https://openlibrary.org/works/OL262341W,https://openlibrary.org/works/OL262341W,51.400000000000006
23,Sky Island,L. Frank Baum,fantasy,,1912,,,510,,,openlibrary,OL262385W,https://openlibrary.org/works/OL262385W,https://covers.openlibrary.org/b/id/2752804-M.jpg,https://openlibrary.org/works/OL262385W,https://openlibrary.org/works/OL262385W,51.0
24,The Scarecrow of Oz,L. Frank Baum,fantasy,,1915,,,503,,,openlibrary,OL262352W,https://openlibrary.org/works/OL262352W,https://covers.openlibrary.org/b/id/431586-M.jpg,https://openlibrary.org/works/OL262352W,https://openlibrary.org/works/OL262352W,50.300000000000004
25,The Patchwork Girl of Oz,L. Frank Baum,fantasy,,1913,,,496,,,openlibrary,OL18405W,https://openlibrary.org/works/OL18405W,https://covers.openlibrary.org/b/id/1473369-M.jpg,https://openlibrary.org/works/OL18405W,https://openlibrary.org/works/OL18405W,49.6
26,The Magic of Oz,L. Frank Baum,fantasy,,1919,,,494,,,openlibrary,OL262380W,https://openlibrary.org/works/OL262380W,https://covers.openlibrary.org/b/id/5071176-M.jpg,https://openlibrary.org/works/OL262380W,https://openlibrary.org/works/OL262380W,49.400000000000006
27,Tik-Tok of Oz,L. Frank Baum,fantasy,,1914,,,490,,,openlibrary,OL18414W,https://openlibrary.org/works/OL18414W,https://covers.openlibrary.org/b/id/8243277-M.jpg,https://openlibrary.org/works/OL18414W,https://openlibrary.org/works/OL18414W,49.0
28,Rinkitink in Oz,L. Frank Baum,fantasy,,1916,,,488,,,openlibrary,OL262376W,https://openlibrary.org/works/OL262376W,https://covers.openlibrary.org/b/id/765814-M.jpg,https://openlibrary.org/works/OL262376W,https://openlibrary.org/works/OL262376W,48.800000000000004
29,The Enchanted Castle,Edith Nesbit,fantasy,,1907,,,478,,,openlibrary,OL99541W,https://openlibrary.org/works/OL99541W,https://covers.openlibrary.org/b/id/6644514-M.jpg,https://openlibrary.org/works/OL99541W,https://openlibrary.org/works/OL99541W,47.800000000000004
30,The Tin Woodman of Oz,L. Frank Baum,fantasy,,1918,,,461,,,openlibrary,OL262381W,https://openlibrary.org/works/OL262381W,https://covers.openlibrary.org/b/id/755973-M.jpg,https://openlibrary.org/works/OL262381W,https://openlibrary.org/works/OL262381W,46.1
31,The Hobbit,J.R.R. Tolkien,fantasy,,1937,,,460,,,openlibrary,OL27482W,https://openlibrary.org/works/OL27482W,https://covers.openlibrary.org/b/id/14627509-M.jpg,https://openlibrary.org/works/OL27482W,https://openlibrary.org/works/OL27482W,46.0
32,Glinda of Oz,L. Frank Baum,fantasy,,1920,,,454,,,openlibrary,OL262391W,https://openlibrary.org/works/OL262391W,https://covers.openlibrary.org/b/id/758814-M.jpg,https://openlibrary.org/works/OL262391W,https://openlibrary.org/works/OL262391W,45.400000000000006
