rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
93,Nightmare Abbey,Thomas Love Peacock,thriller,,1818,,,140,,,openlibrary,OL2713465W,https://openlibrary.org/works/OL2713465W,https://covers.openlibrary.org/b/id/1956635-M.jpg,14.0
94,The Borrowers,Mary Norton,"fantasy, Juvenile Fiction","Miniature people live in an old country house and provide for themselves by ""borrowing"" things from the humans until they are forced to emigrate from their home under the clock.",1953,4,12,,0152047379,9780152047375,google,WPnebZVDkNAC,http://books.google.com/books?id=WPnebZVDkNAC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=WPnebZVDkNAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,13.856406460551018
95,The Eye of Osiris,R. Austin Freeman,thriller,,1911,,,136,,,openlibrary,OL13150029W,https://openlibrary.org/works/OL13150029W,https://covers.openlibrary.org/b/id/7162423-M.jpg,13.600000000000001
96,The Wind in the Willows,Kenneth Grahame,"fantasy, Juvenile Fiction","The escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger.",1993,4.5,7,,185326122X,9781853261220,google,Mo7D3Je7_DMC,http://books.google.com/books?id=Mo7D3Je7_DMC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=Mo7D3Je7_DMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,11.905880899790658
97,The Eleventh Commandment,Jeffrey Archer,"thriller, Fiction","ELEVENTH COMMANDMENT Jeffrey Archer Connor Fitzgerald has an impressive resume. Military hero. Devoted family man. Servant of his country--as an assassin. Just as he's about to put his twenty-eight-year career at the CIA behind him, he comes up against the most dangerous enemy he's ever faced: His own boss, Helen Dexter."""" As Director of the CIA, Dexter has always been the one to hold the strings. But when her status is threatened by a greater power, her only hope for survival is to destroy Fitzgerald. Meanwhile, the country braces itself as tensions with a new Russian leader reach the boiling point...and it's up to Fitzgerald to pull off his most daring mission yet: To save the world. Even if that means risking everything--including his own life--in the process.",1998,3.5,11,,,,google,yRSoAAAAIAAJ,http://books.google.com/books?id=yRSoAAAAIAAJ&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=yRSoAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,11.6081867662439
98,Carrie,Stephen King,thriller,,1974,,,113,,,openlibrary,OL81626W,https://openlibrary.org/works/OL81626W,https://covers.openlibrary.org/b/id/9256043-M.jpg,11.3
99,Eragon,Christopher Paolini,"fantasy, Juvenile Fiction","14 Compact Discs; 16 hours, 23 minutes; unabridged Audio CD.",2006,5,5,,044023848X,9780440238485,google,0ovOTsTs22AC,http://books.google.com/books?id=0ovOTsTs22AC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=0ovOTsTs22AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,11.180339887498949
100,The Pillars of the Earth,Ken Follett,thriller,,1989,,,110,,,openlibrary,OL1914022W,https://openlibrary.org/works/OL1914022W,https://covers.openlibrary.org/b/id/9269909-M.jpg,11.0
101,The Dead Zone,Stephen King,"thriller, Fiction",A supernatural thriller that plunges the reader into the fate awaiting all mankind -- The Dead Zone. Copyright © Libri GmbH. All rights reserved.,1979,3.5,8,,0670260770,9780670260775,google,01N88IPrDnYC,http://books.google.com/books?id=01N88IPrDnYC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=01N88IPrDnYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,9.899494936611665
102,Captivated,Nora Roberts,"romance, Fiction",His interest in her was purely professional ... or so he told himself.,2004,4,6,,0373285000,9780373285006,google,4TtmtWzIIpsC,http://books.google.com/books?id=4TtmtWzIIpsC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=4TtmtWzIIpsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,9.797958971132712
103,Brother Odd,Dean Ray Koontz,"thriller, Fiction","Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginning—but where he will meet an adversary as old and inexorable as time itself. St. Bartholomew’s Abbey sits in majestic solitude amid the wild peaks of California’s high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and Odd’s steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbey’s most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",2007,4.5,4,,0553589105,9780553589108,google,HuWP4w41tOEC,http://books.google.com/books?id=HuWP4w41tOEC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=HuWP4w41tOEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9.0
104,Tales from Earthsea,Ursula K. Le Guin,"fantasy, Fiction","Exploring the legend of Earthsea's history, people, languages, literature, and magic, this collection of four magical stories is now available in a paperback edition.",2002,4,5,,0441009328,9780441009329,google,Fc4vX8-vQPgC,http://books.google.com/books?id=Fc4vX8-vQPgC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=Fc4vX8-vQPgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,8.94427190999916
105,Nightfall,Shannon Messenger,"fantasy, Juvenile Fiction",Sophie and her friends face battles unlike anything they've experienced before in this thrilling sixth book of Messenger's New York Times- and USA Today-bestselling series. 5 1/2 x 8 5/16.,2017,5,3,,1481497405,9781481497404,google,90k8DwAAQBAJ,http://books.google.com/books?id=90k8DwAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=90k8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,8.660254037844386
106,The Illustrated Man,Ray Bradbury,"fantasy, Fiction",Eighteen science fiction stories.,1951,4,4,,,,google,ahRAAAAAIAAJ,http://books.google.com/books?id=ahRAAAAAIAAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=ahRAAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,8.0
107,Harry Potter and the Philosopher's Stone,J. K. Rowling,"fantasy, Juvenile Fiction","Harry Potter is an ordinary boy who lives in a cupboard under the stairs at his Aunt Petunia and Uncle Vernon's house, which he thinks is normal for someone like him who's parents have been killed in a 'car crash'. He is bullied by them and his fat, spoilt cousin Dudley, and lives a very unremarkable life with only the odd hiccup (like his hair growing back overnight!) to cause him much to think about. That is until an owl turns up with a letter addressed to Harry and all hell breaks loose! He is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day. Read and find out how Harry discovers his true heritage at Hogwarts School of Wizardry and Witchcraft, the reason behind his parents mysterious death, who is out to kill him, and how he uncovers the most amazing secret of all time, the fabled Philosopher's Stone! All this and muggles too. Now, what are they?",1997,4.5,3,,0747532699,9780747532699,google,xYotngEACAAJ,http://books.google.com/books?id=xYotngEACAAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=xYotngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,7.794228634059947
108,Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,"fantasy, Fiction","This movie tie-in edition of the full original PRINCE CASPIAN novel will be rack size, and feature a movie cover and an 8-page movie still insert.",2008,5,2,,0061231061,9780061231063,google,4bn7XhMeBH8C,http://books.google.com/books?id=4bn7XhMeBH8C&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=4bn7XhMeBH8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,7.0710678118654755
109,A Wrinkle in Time,Madeleine L'Engle,"fantasy, Juvenile Fiction","This special edition ofA Wrinkle in Timeincludes a new essay that explores the science behind the fantasy. Rediscover one of the most beloved children's books of all time:A Wrinkle in Timeby Madeleine L'Engle: Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time. Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?",1973,4,3,,0440498058,9780440498056,google,xo424twqfEsC,http://books.google.com/books?id=xo424twqfEsC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=xo424twqfEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,6.928203230275509
110,Immoral,Brian Freeman,"thriller, Fiction","In a moral world, murder is the ultimate crime, a killer pays the ultimate price, and the victim remains buried. Unless everyone is immoral.",2005,4,3,,0312340427,9780312340421,google,-A7Yp3tF39oC,http://books.google.com/books?id=-A7Yp3tF39oC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=-A7Yp3tF39oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,6.928203230275509
111,The Da Vinci Code,Dan Brown,"thriller, Fiction","Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever.",2003,4.5,2,,0593051521,9780593051528,google,g40bVuX9wmYC,http://books.google.com/books?id=g40bVuX9wmYC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=g40bVuX9wmYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,6.3639610306789285
112,The Servants of Twilight,Dean Ray Koontz,"thriller, Fiction",Christine Scavello's life turns into a nightmare when her six-year-old son becomes a target for a group of religious fanatics who believe he is the Antichrist and will stop at nothing to kill him. Reissue.,1984,3,3,,0425121259,9780425121252,google,fLrfKld2lLUC,http://books.google.com/books?id=fLrfKld2lLUC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=fLrfKld2lLUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,5.196152422706632
113,Path of the Assassin,Brad Thor,"thriller, Fiction","With action-packed prose and dead-on authenticity, Thor and his indomitable hero Scot Harvath--from ""The Lions of Lucerne""--are back, raising the stakes and taking on an anonymous terrorist bent on stoking a global holy war of apocalyptic proportions.",2003,3,3,,0743436768,9780743436762,google,aQUWFZWdg1IC,http://books.google.com/books?id=aQUWFZWdg1IC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=aQUWFZWdg1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5.196152422706632
114,The Wizard of Oz,L. Frank Baum,"fantasy, Fiction",".0000000000This is the story of Dorothy and her little dog Toto, who are carried away from Kansas by a cyclone and transported to the wonderful world of Oz. She meets three companions - the Scarecrow, the Tin Woodman and the Cowardly Lion - and the three journey to the Emerald City of Oz to ask the Wizard of Oz to give them their hearts' desires, which in Dorothy's case is to return home to Kansas. On their way to Oz and while fulfilling the tasks that the surprising Wizard asks of them they encounter witches, winged monkeys, the Deadly Desert, fighting trees and magic shoes.This edition is evocatively illustrated with the original drawings of W. W. Denslow, with an Afterword by Ned Halley.",2009,5,1,,1905716524,9781905716524,google,hRd7dJ-9G1IC,http://books.google.com/books?id=hRd7dJ-9G1IC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=hRd7dJ-9G1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5.0
115,Prince Charming,Julie Garwood,"romance, Fiction","Beautiful Taylor Baker, whose fiance has eloped with her odious cousin and whose greedy uncle has his own plans for her, escapes to Montana with rough-edged American Lucas Ross.",1995,5,1,,0671870963,9780671870966,google,-PVWACFDvmEC,http://books.google.com/books?id=-PVWACFDvmEC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=-PVWACFDvmEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5.0
116,Me Before You (Movie Tie-In),Jojo Moyes,"romance, Fiction","Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",2016,5,1,,0143109464,9780143109464,google,SxPUCwAAQBAJ,http://books.google.com/books?id=SxPUCwAAQBAJ&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=SxPUCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5.0
117,The Apostle,Brad Thor,"thriller, Fiction","When a media titan's daughter is kidnapped in Afghanistan and offered in exchange for the freedom of a top Al Qaeda operative, covert Homeland Security operative Scot Harvath undertakes a dangerous mission to free the terrorist from a Kabul prison.",2009,3.5,2,,1416586571,9781416586579,google,o56mu1GaW2kC,http://books.google.com/books?id=o56mu1GaW2kC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=o56mu1GaW2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.949747468305833
118,The Confessor,Daniel Silva,"thriller, Fiction","In the wake of a Munich writer's assassination, Mossad agent Gabriel Allon and Vatican priest Pietro embark on dangerous journeys that reveal long-buried secrets affecting the fates of millions of people.",2003,4,1,,0786254483,9780786254484,google,ViZePgAACAAJ,http://books.google.com/books?id=ViZePgAACAAJ&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=ViZePgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0
119,The Silver Chair,Clive Staples Lewis,"fantasy, Juvenile Fiction","Two English children undergo hair-raising adventures as they go on a search and rescue mission for the missing Prince Rilian, who is held captive in the underground kingdom of the Emerald Witch.",1998,,,,0006716814,9780006716815,google,Pnqx6B2lF60C,http://books.google.com/books?id=Pnqx6B2lF60C&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=Pnqx6B2lF60C&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0
120,A Wizard of Earthsea,Ursula K. Le Guin,"fantasy, Juvenile Fiction",A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,2012,,,,0547851391,9780547851396,google,FD72ekYZqIkC,http://books.google.com/books?id=FD72ekYZqIkC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=FD72ekYZqIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
121,Peter and Wendy,James Matthew Barrie,"fantasy, Children","The adventures of Peter Pan, the boy who would not grow up.",1911,,,,,,google,OJZFAAAAMAAJ,https://play.google.com/store/books/details?id=OJZFAAAAMAAJ&source=gbs_api,http://books.google.com/books/content?id=OJZFAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
122,The Waste Lands,Stephen King,"fantasy, Fiction","Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",1993,,,,0451173317,9780451173317,google,r2_rY3LwaA4C,http://books.google.com/books?id=r2_rY3LwaA4C&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=r2_rY3LwaA4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0
123,Peter Pan,James Matthew Barrie,"fantasy, Fiction","The adventures of the three darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",2008,,,,1402754264,9781402754265,google,WdM_qxJq8T8C,http://books.google.com/books?id=WdM_qxJq8T8C&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=WdM_qxJq8T8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
124,The Magician's Nephew Color Gift Edition,C. S. Lewis,"fantasy, Fiction","The first book in The Chronicles of Narnia is now available in a full-color, unabridged gift edition that includes all of the original Pauline Baynes illustrations.",2003,,,,0060530847,9780060530846,google,klGC6xroFOwC,http://books.google.com/books?id=klGC6xroFOwC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=klGC6xroFOwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
125,Through the Looking-Glass,Lewis Carroll,"fantasy, Juvenile Fiction",Publisher description,1993,,,,0688120490,9780688120498,google,V94zd80Y4WIC,http://books.google.com/books?id=V94zd80Y4WIC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=V94zd80Y4WIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
126,Bloodmarked,Tracy Deonn,"fantasy, Young Adult Fiction","""When the leaders of the Order reveal that they will do everything in their power to keep the approaching demon war a secret, Bree and her friends go on the run so she can learn how to control her devastating new powers.""--",2022,,,,1534441638,9781534441637,google,S9RJEAAAQBAJ,http://books.google.com/books?id=S9RJEAAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=S9RJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
127,The Ice Dragon,George R. R. Martin,"fantasy, Juvenile Fiction","A tale of courage and sacrifice set in the world of the #1 New York Times bestselling series A Song of Ice and Fire, basis for HBO's megahit Game of Thrones",2014,,,,0765378779,9780765378774,google,ihXFBAAAQBAJ,http://books.google.com/books?id=ihXFBAAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=ihXFBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
128,Lodestar,Shannon Messenger,"fantasy, Juvenile Fiction","Betrayed by one of their closest allies, Sophie's whole word has been turned inside out. The battles are shaping up and the stakes have never been higher ...",2016,,,,1481474952,9781481474955,google,0KFSDQAAQBAJ,http://books.google.com/books?id=0KFSDQAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=0KFSDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
129,An Ember in the Ashes,Sabaa Tahir,"fantasy, Juvenile Fiction","BOOK ONE IN THE NEW YORK TIMES BESTSELLING SERIES One of Time Magazine's 100 Best Fantasy Books of All Time Instant New York Times bestseller From #1 New York Times bestselling author Sabaa Tahir Amazon's Best Young Adult Book of 2015 People's Choice Award winner - Favorite Fantasy Bustle's Best Young Adult Book of 2015 ""This novel is a harrowing, haunting reminder of what it means to be human -- and how hope might be kindled in the midst of oppression and fear."" -- The Washington Post ""An Ember in the Ashes could launch Sabaa Tahir into JK Rowling territory...It has the addictive quality of The Hunger Games combined with the fantasy of Harry Potter and the brutality of Game of Thrones.""--Public Radio International ""An Ember in the Ashes glows, burns, and smolders--as beautiful and radiant as it is searing.""--Huffington Post ""A worthy novel - and one as brave as its characters."" --The New York Times Book Review Laia is a slave. Elias is a soldier. Neither is free. Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear. It is in this brutal world, inspired by ancient Rome, that Laia lives with her grandparents and older brother. The family ekes out an existence in the Empire's impoverished backstreets. They do not challenge the Empire. They've seen what happens to those who do. But when Laia's brother is arrested for treason, Laia is forced to make a decision. In exchange for help from rebels who promise to rescue her brother, she will risk her life to spy for them from within the Empire's greatest military academy. There, Laia meets Elias, the school's finest soldier--and secretly, its most unwilling. Elias wants only to be free of the tyranny he's being trained to enforce. He and Laia will soon realize that their destinies are intertwined--and that their choices will change the fate of the Empire itself.",2020,,,,0593206932,9780593206935,google,M8D1DwAAQBAJ,http://books.google.com/books?id=M8D1DwAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=M8D1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
130,The Dragonbone Chair,Tad Williams,"fantasy, Fiction","Simon, a young kitchen boy and magician's apprentice, finds his world torn apart by a civil war fueled by immortal enemies and the dark powers of sorcery.",2005,,,,0756402697,9780756402693,google,BSuJEAAAQBAJ,http://books.google.com/books?id=BSuJEAAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=BSuJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
131,Bridge to Terabithia,Katherine Paterson,"fantasy, Juvenile Fiction","One of the most celebrated Newbery Medal winners of all time gets a magical makeover in this new edition, complete with a reader's guide that's ideal for teachers, book clubs, or anyone looking for insight into this favorite book.",1979,,,,0380432811,9780380432813,google,qGhxPIwXLikC,http://books.google.com/books?id=qGhxPIwXLikC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=qGhxPIwXLikC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0
132,"Moomin, Mymble and Little My",Tove Jansson,"fantasy, Juvenile Fiction","Finnish artist Tove Jansson's Moomin stories have been continually in print for more than half a century, in 35 languages. They are among Europe's best loved and enduring children's classics, and through the TV animation (BBC2), the warm-hearted, whimsical creatures of Moomin valley have been brought to a new younger British audience.Introducing the first Sort Of Children's Classic in a new English version by Sophie Hannah. Sort of Books proudly presents the original full colour Moomin picture book with its irresistible cut-out page designs and playful rhyming text in a new version by one of Britain's star poets.",2001,,,,0953522741,9780953522743,google,x7gvAAAACAAJ,http://books.google.com/books?id=x7gvAAAACAAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=x7gvAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0
133,Down on My Knees,Victor McGlothin,"romance, Fiction",C.1 ST. AID B & T. 01-17-2008. $15.00.,2006,,,,0758213468,9780758213464,google,FR2Z0-Z65oMC,http://books.google.com/books?id=FR2Z0-Z65oMC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=FR2Z0-Z65oMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
134,Eligible,Curtis Sittenfeld,"romance, Fiction","A modern retelling of Pride and Prejudice...Returning with her sister, Jane, to their Ohio hometown when their father falls ill, New York magazine editor Lizzy Bennett confronts challenges in the form of her younger sisters' football fangirl antics, a creepy cousin's unwanted attentions and the infuriating standoffish manners of a handsome neurosurgeon.",2016,,,,1400068320,9781400068326,google,8TvTCwAAQBAJ,http://books.google.com/books?id=8TvTCwAAQBAJ&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=8TvTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
135,The House of the Seven Gables,"Nathaniel Hawthorne, Philip Young","romance, Classic",,1970,,,,0030844207,9780030844201,google,7xWHngEACAAJ,http://books.google.com/books?id=7xWHngEACAAJ&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,,0.0
136,Twisted Perfection,Abbi Glines,"romance, Fiction","""Della Sloane is not your average girl. Yearning to break free of her dark and sheltered past and the memories of the illness that claimed her mother, Della plans a solo road trip to experience real life on her own terms. But the trip is nearly cut short in the little beach town of Rosemary when she realizes she can't even pump her own gas; until Woods Kerrington shows up, more than willing to help out a pretty girl in need.""--Page 4 of cover.",2013,,,,1476756503,9781476756509,google,pd4nAAAAQBAJ,http://books.google.com/books?id=pd4nAAAAQBAJ&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=pd4nAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
137,Simple Gifts,"Judith McNaught, Jude Deveraux","romance, Fiction",4 Heartwarming Christmas Stories.,2001,,,,0743442237,9780743442237,google,_y8kwT-j3sUC,http://books.google.com/books?id=_y8kwT-j3sUC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=_y8kwT-j3sUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
138,Because of Low,Abbi Glines,"romance, Fiction","Originally self-published as an e-book, 2012.",2013,,,,1442488638,9781442488632,google,UbzCTzSyy6cC,http://books.google.com/books?id=UbzCTzSyy6cC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=UbzCTzSyy6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0.0
